country,temperature_celsius_mean,temperature_celsius_min,temperature_celsius_max,humidity_mean,humidity_min,humidity_max,precipitation_mm_sum,precipitation_mm_mean,wind_mph_mean,wind_mph_max,air_quality_index_mean,air_quality_index_min,air_quality_index_max
Lebanon,24.933399209486165,7.1,33.1,60.49407114624506,23,88,0,0.0,9.022134387351779,25.5,0.0,0,0
Lesotho,19.171597633136095,3.4,35.6,41.315581854043394,6,100,0,0.0,8.493491124260355,32.2,0.0,0,0
Letonia,20.6,20.6,20.6,94.0,94,94,0,0.0,8.3,8.3,0.0,0,0
Liberia,26.579289940828403,22.3,33.0,85.99013806706114,60,100,0,0.0,6.415581854043392,16.1,0.0,0,0
Libya,27.0,27.0,27.0,74.0,74,74,0,0.0,19.7,19.7,0.0,0,0
Liechtenstein,12.883431952662722,-10.2,29.4,77.38856015779093,33,100,0,0.0,4.314990138067061,13.6,0.0,0,0
Lithuania,13.030571992110454,-9.8,31.2,68.97633136094674,22,100,0,0.0,9.432544378698225,23.5,0.0,0,0
Luxembourg,12.977272727272727,-4.0,30.5,75.22529644268775,33,100,0,0.0,8.900988142292489,24.4,0.0,0,0
Macedonia,20.804761904761907,-0.8,41.4,51.851190476190474,9,100,0,0.0,4.604563492063492,20.6,0.0,0,0
Madagascar,26.18022774327122,12.0,41.4,44.86024844720497,12,100,0,0.0,7.513250517598344,24.2,0.0,0,0
Malawi,24.738385826771655,12.0,35.4,48.188976377952756,7,100,0,0.0,7.7549212598425195,18.6,0.0,0,0
Malaysia,29.77755905511811,23.0,36.4,72.52165354330708,32,100,0,0.0,3.9464566929133857,17.4,0.0,0,0
Maldives,28.075049504950496,24.6,29.8,75.71089108910891,59,91,0,0.0,12.834059405940593,28.0,0.0,0,0
Mali,28.107086614173227,20.1,42.0,58.49212598425197,10,100,0,0.0,7.314370078740157,17.4,0.0,0,0
Malta,24.250984251968504,12.3,36.3,63.34251968503937,23,100,0,0.0,11.539566929133859,42.3,0.0,0,0
Malásia,24.3,24.3,24.3,93.0,93,93,0,0.0,4.0,4.0,0.0,0,0
Marrocos,40.3,40.3,40.3,14.0,14,14,0,0.0,10.5,10.5,0.0,0,0
Marshall Islands,28.14271653543307,25.0,30.1,81.30511811023622,68,94,0,0.0,13.818897637795276,25.9,0.0,0,0
Mauritania,24.523425196850393,15.9,36.3,57.35236220472441,21,92,0,0.0,12.894094488188976,24.6,0.0,0,0
Mauritius,26.25216535433071,20.1,33.2,67.75787401574803,47,100,0,0.0,12.318307086614173,24.2,0.0,0,0
Mexico,14.593439363817097,4.3,23.0,72.3041749502982,23,100,0,0.0,3.553479125248509,13.6,0.0,0,0
Mexique,27.4,27.4,27.4,72.0,72,72,0,0.0,9.4,9.4,0.0,0,0
Micronesia,27.843392504930968,24.1,32.1,84.4043392504931,66,100,0,0.0,12.279881656804733,25.7,0.0,0,0
Monaco,20.2600790513834,8.3,33.3,63.387351778656125,24,96,0,0.0,6.360474308300396,25.5,0.0,0,0
Mongolia,7.8612648221343875,-24.9,34.3,49.851778656126484,7,99,0,0.0,5.025296442687748,23.9,0.0,0,0
Montenegro,22.048915187376725,5.0,40.2,52.05522682445759,16,100,0,0.0,4.64930966469428,19.2,0.0,0,0
Morocco,21.135968379446638,12.1,35.2,74.05533596837945,26,100,0,0.0,7.902371541501976,28.6,0.0,0,0
Mozambique,26.087204724409446,14.4,37.3,58.65748031496063,11,94,0,0.0,9.079527559055117,24.2,0.0,0,0
Myanmar,30.26220472440945,20.0,38.4,74.59055118110236,31,100,0,0.0,7.45511811023622,18.8,0.0,0,0
Namibia,23.207692307692305,5.0,35.1,29.0,2,100,0,0.0,11.100986193293885,25.3,0.0,0,0
Nepal,23.597830374753453,9.9,32.4,62.58777120315582,9,100,0,0.0,4.62741617357002,20.6,0.0,0,0
Netherlands,14.503155818540435,-0.8,29.7,73.90927021696253,39,100,0,0.0,10.347731755424064,34.9,0.0,0,0
New Zealand,13.004527559055118,5.1,21.3,79.62204724409449,41,100,0,0.0,14.882283464566928,41.2,0.0,0,0
Nicaragua,24.34990059642147,19.4,31.0,86.41351888667992,54,100,0,0.0,6.19403578528827,17.7,0.0,0,0
Niger,30.74792899408284,22.2,43.0,44.34516765285996,6,100,0,0.0,12.071005917159763,22.8,0.0,0,0
Nigeria,28.403543307086615,20.8,39.4,66.85039370078741,8,100,0,0.0,4.8712598425196845,15.0,0.0,0,0
North Korea,16.227810650887573,-11.5,35.3,63.92110453648915,20,98,0,0.0,7.048915187376727,19.7,0.0,0,0
Norway,9.959368836291912,-11.8,26.2,74.16568047337279,23,100,0,0.0,8.173175542406312,48.5,0.0,0,0
