country,location_name,year,latitude,longitude,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
Myanmar,Yangon,2025,16.7833,96.1667,31.67472118959108,14.714869888475837,194.54275092936803,1006.6245353159851,0.5224163568773235,69.10780669144981,63.342007434944236,34.99591078066914,6.661710037174721,2.2546468401486988,20.246840148698883,615.9881040892193,90.33457249070632,5.801710037174722,7.970817843866171,35.10736059479554,40.74195167286245,2.241635687732342,3.9553903345724906,50.82156133828996
Namibia,Windhoek,2024,-22.57067105263158,17.08086842105263,25.891666666666666,18.340350877192986,204.8859649122807,1019.2324561403509,0.008070175438596491,15.881578947368421,7.118421052631579,24.647368421052633,9.986842105263158,8.714035087719298,23.003947368421052,259.6484649122807,79.23070175438596,0.30298245614035085,0.5557894736842105,6.986754385964912,11.193245614035087,1.0789473684210527,1.1578947368421053,48.73684210526316
Namibia,Windhoek,2025,-22.5717,17.0822,21.013011152416357,17.59442379182156,164.2825278810409,1023.089219330855,0.04520446096654275,40.01858736059479,16.460966542750928,20.597026022304835,9.936802973977695,6.639405204460966,20.526022304832715,234.26914498141264,68.17843866171003,1.1691449814126393,0.8115241635687733,7.789256505576208,8.370390334572491,1.1152416356877324,1.2267657992565055,50.8550185873606
Nepal,Kathmandu,2024,27.71869736842105,85.31869736842106,22.147368421052633,7.175000000000001,230.96052631578948,1010.7631578947369,0.5073684210526316,71.20175438596492,58.87280701754386,23.592543859649126,8.364035087719298,2.2320175438596492,10.984649122807017,746.9984649122807,96.13070175438597,7.513114035087719,7.214692982456141,35.89326754385965,47.85932017543859,2.2017543859649122,3.982456140350877,48.69736842105263
Nepal,Kathmandu,2025,27.7167,85.3167,24.764312267657996,7.7687732342007445,232.53903345724908,1012.6245353159851,0.656542750929368,55.04460966542751,57.53903345724907,26.159851301115243,7.741635687732342,2.9736059479553902,10.461338289962825,867.9457249070632,140.03345724907064,5.741189591078068,10.329052044609664,42.25565055762082,60.61604089219331,2.5724907063197024,4.895910780669145,50.85130111524163
Netherlands,Amsterdam,2024,52.37157894736842,4.889881578947368,15.667543859649122,18.25657894736842,201.24122807017545,1015.3991228070175,0.14842105263157895,74.10964912280701,44.73684210526316,15.019298245614035,9.313157894736843,3.225438596491228,24.489912280701752,332.5328947368421,61.0328947368421,32.29482456140351,2.9369298245614037,13.585219298245613,19.216140350877193,1.381578947368421,1.8026315789473684,48.39473684210526
Netherlands,Amsterdam,2025,52.374,4.8897,13.610408921933084,15.367657992565054,188.95539033457248,1016.7472118959108,0.06204460966542751,73.27137546468401,33.6542750929368,12.58289962825279,9.462825278810408,1.8193308550185874,19.75724907063197,445.7124535315985,36.05576208178439,68.68726765799256,5.009442379182156,23.708197026022304,32.00706319702602,1.758364312267658,2.7137546468401488,50.858736059479554
New Zealand,Wellington,2024,-41.3,174.78129694323144,12.035807860262008,24.486899563318776,168.62008733624455,1014.4148471615721,0.2163755458515284,81.43231441048034,50.7117903930131,10.090829694323144,9.551965065502184,0.6419213973799127,38.85720524017467,201.28689956331877,54.086462882096065,1.737947598253275,1.0723580786026201,5.524257641921397,9.246069868995633,1.0262008733624455,1.1353711790393013,48.76855895196506
New Zealand,Wellington,2025,-41.3,174.7833,13.817100371747213,23.32527881040892,176.11524163568774,1015.9702602230483,0.14959107806691452,78.2081784386617,44.51672862453532,12.47992565055762,9.666542750929368,0.0037174721189591076,35.858736059479554,151.36301115241636,49.50185873605948,3.294237918215613,1.6945724907063198,8.393773234200744,11.884702602230483,1.037174721189591,1.178438661710037,50.795539033457246
Nicaragua,Managua,2024,12.15031150442478,-86.26933805309734,24.383185840707966,6.6933628318584075,114.97787610619469,1010.5442477876106,0.22823008849557522,90.22123893805309,47.216814159292035,26.93274336283186,9.380530973451327,3.3185840707964602,13.221681415929202,341.0913716814159,41.85796460176991,3.1273893805309734,5.991305309734513,8.811482300884956,11.436858407079646,1.1371681415929205,1.323008849557522,48.74778761061947
