country,month,temperature_celsius,humidity,precip_mm,wind_kph,pressure_mb,uv_index
Dominica,2025-05,26.338709677419356,79.90322580645162,0.19096774193548388,17.835483870967742,1014.3225806451613,0.0
Dominica,2025-06,26.476666666666667,78.2,0.10466666666666667,23.863333333333333,1016.1666666666666,0.0
Dominica,2025-07,26.751612903225805,77.83870967741936,0.0967741935483871,20.009677419354837,1015.6451612903226,0.0
Dominica,2025-08,27.312903225806455,78.03225806451613,0.13870967741935483,16.893548387096775,1013.9677419354839,0.0
Dominica,2025-09,27.56,77.06666666666666,0.09033333333333333,14.633333333333333,1012.7333333333333,0.0
Dominica,2025-10,27.2,77.0,0.01,11.9,1013.0,0.0
Dominican Republic,2024-05,27.823529411764707,85.11764705882354,0.08,11.041176470588235,1015.4117647058823,6.176470588235294
Dominican Republic,2024-06,28.836666666666666,82.83333333333333,0.08566666666666668,9.55,1015.1333333333333,6.366666666666666
Dominican Republic,2024-07,26.814285714285713,88.42857142857143,0.25357142857142856,10.342857142857142,1016.5357142857143,6.321428571428571
Dominican Republic,2024-08,26.345161290322583,89.45161290322581,0.04064516129032258,8.97741935483871,1015.2258064516129,6.483870967741935
Dominican Republic,2024-09,25.323333333333334,96.3,0.023,7.3533333333333335,1012.2333333333333,4.2
Dominican Republic,2024-10,25.37,94.43333333333334,0.5850000000000001,7.983333333333333,1011.8666666666667,0.3
Dominican Republic,2024-11,23.513793103448275,97.13793103448276,0.04068965517241379,8.613793103448277,1011.0689655172414,0.0
Dominican Republic,2024-12,22.612903225806452,97.61290322580645,0.0,11.235483870967743,1014.2903225806451,0.0
Dominican Republic,2025-01,21.53666666666667,96.33333333333333,0.049666666666666665,11.770000000000001,1016.2333333333333,0.0
Dominican Republic,2025-02,21.432142857142857,97.60714285714286,0.0,11.117857142857144,1016.1785714285714,0.0
Dominican Republic,2025-03,21.84193548387097,97.70967741935483,0.5309677419354839,9.451612903225806,1014.6129032258065,0.0
Dominican Republic,2025-04,22.546666666666667,95.76666666666667,0.12733333333333335,11.916666666666666,1014.5333333333333,0.0
Dominican Republic,2025-05,23.351612903225806,97.70967741935483,0.7674193548387096,9.787096774193548,1015.1290322580645,0.0
Dominican Republic,2025-06,23.970000000000002,95.7,0.12200000000000001,8.463333333333333,1016.9666666666667,0.0
Dominican Republic,2025-07,24.270967741935483,94.74193548387096,0.0,8.47741935483871,1016.6451612903226,0.0
Dominican Republic,2025-08,25.08709677419355,93.51612903225806,0.0,8.941935483870967,1014.8387096774194,0.0
Dominican Republic,2025-09,25.14333333333333,93.96666666666667,0.0,6.33,1013.3333333333334,0.0
Dominican Republic,2025-10,25.4,100.0,0.0,4.3,1013.0,0.0
Ecuador,2024-05,15.229411764705882,67.94117647058823,0.04058823529411765,5.452941176470588,1017.1176470588235,5.117647058823529
Ecuador,2024-06,13.266666666666667,69.23333333333333,0.022000000000000002,5.61,1018.5,4.966666666666667
Ecuador,2024-07,10.703448275862069,72.20689655172414,0.0006896551724137932,7.241379310344827,1018.7931034482758,4.551724137931035
Ecuador,2024-08,9.574193548387097,69.0,0.0,6.551612903225807,1019.4516129032259,4.258064516129032
Ecuador,2024-09,10.35,65.1,0.01633333333333333,6.996666666666667,1017.3666666666667,2.9
Ecuador,2024-10,10.76,82.26666666666667,0.07,4.3,1016.3666666666667,0.3
Ecuador,2024-11,10.386206896551723,89.34482758620689,0.060689655172413794,3.8551724137931034,1015.7586206896551,0.0
Ecuador,2024-12,10.316129032258065,91.58064516129032,0.07838709677419356,3.806451612903226,1016.1935483870968,0.0
Ecuador,2025-01,9.843333333333334,88.03333333333333,0.082,4.0,1016.6666666666666,0.0
Ecuador,2025-02,10.235714285714286,91.71428571428571,0.14214285714285715,3.757142857142857,1015.6785714285714,0.0
Ecuador,2025-03,9.873333333333333,90.63333333333334,0.1553333333333333,3.95,1016.4,0.0
Ecuador,2025-04,10.013333333333332,89.16666666666667,0.044000000000000004,4.3533333333333335,1016.1666666666666,0.0
Ecuador,2025-05,9.896666666666667,87.26666666666667,0.035333333333333335,4.91,1017.2333333333333,0.0
Ecuador,2025-06,9.346666666666666,83.6,0.010666666666666666,5.61,1017.7,0.0
Ecuador,2025-07,9.041935483870969,78.0,0.01741935483870968,5.987096774193549,1018.1935483870968,0.0
Ecuador,2025-08,9.264516129032257,79.74193548387096,0.0006451612903225806,5.341935483870968,1017.9354838709677,0.0
Ecuador,2025-09,10.146666666666667,76.26666666666667,0.008,5.11,1017.3,0.0
Ecuador,2025-10,10.6,82.0,0.0,5.4,1018.0,0.0
Egypt,2024-05,33.588235294117645,22.11764705882353,0.0,16.947058823529414,1012.3529411764706,7.705882352941177
Egypt,2024-06,37.84666666666667,21.433333333333334,0.0,19.706666666666667,1006.8333333333334,9.5
Egypt,2024-07,37.5,25.107142857142858,0.0,15.757142857142856,1004.7142857142857,9.285714285714286
Egypt,2024-08,36.806451612903224,25.419354838709676,0.0,15.548387096774194,1007.0645161290323,9.193548387096774
Egypt,2024-09,32.70666666666667,37.766666666666666,0.0,14.993333333333334,1011.1,8.066666666666666
Egypt,2024-10,27.903225806451612,38.61290322580645,0.0,15.86774193548387,1014.7096774193549,5.974193548387096
Egypt,2024-11,22.006666666666668,53.4,0.007,15.086666666666668,1018.8333333333334,3.283333333333333
Egypt,2024-12,19.596774193548388,46.29032258064516,0.0,16.37741935483871,1019.6129032258065,3.2870967741935484
Egypt,2025-01,19.35483870967742,49.16129032258065,0.0,13.806451612903226,1020.6774193548387,3.693548387096774
Egypt,2025-02,16.87857142857143,45.357142857142854,0.002142857142857143,17.70714285714286,1020.1785714285714,4.7250000000000005
Egypt,2025-03,22.812903225806455,37.58064516129032,0.0,14.812903225806451,1016.8387096774194,6.422580645161291
Egypt,2025-04,24.17,35.8,0.0,16.706666666666667,1013.6666666666666,7.34
